Feature,Importance
mfcc6_mean,0.3777471384783998
chroma_stft_var,0.30161988489472397
mfcc4_mean,0.22942126242050392
mfcc3_mean,0.22450142138354393
mfcc5_var,0.2153503669650434
mfcc4_var,0.2068214091283945
mfcc19_mean,0.1989744624474104
chroma_stft_mean,0.17450301057128548
mfcc8_mean,0.16009530859431803
rms_mean,0.13988934012350335
mfcc1_mean,0.13835493189841902
rms_var,0.13664274475374683
mfcc9_mean,0.12744416743623604
mfcc14_mean,0.12610084512767117
mfcc9_var,0.10282076102839927
perceptr_var,0.09999319991205685
rolloff_var,0.0862227769841693
mfcc6_var,0.0748184011112597
mfcc11_mean,0.07453344268823761
rolloff_mean,0.06783823134222655
mfcc8_var,0.06374306815206797
spectral_centroid_var,0.06342148500511657
mfcc10_mean,0.05960679803615804
mfcc17_var,0.057971475592598604
mfcc16_var,0.05330231512045891
spectral_bandwidth_mean,0.04999998916756376
perceptr_mean,0.04465340717906323
zero_crossing_rate_var,0.03442566053548185
spectral_centroid_mean,0.0296426913057114
mfcc7_mean,0.0280051329893147
mfcc3_var,0.01867393755930269
mfcc12_mean,0.017510522536634654
spectral_bandwidth_var,0.017229171387508846
mfcc2_var,0.011975759351703155
harmony_mean,0.011804975487423458
mfcc11_var,0.005621410450062904
mfcc10_var,0.004466735342456243
mfcc15_var,0.002399301426702853
mfcc18_var,-0.002022785874141647
tempo,-0.01167821584557506
mfcc19_var,-0.012221418564085595
mfcc15_mean,-0.029472610595213555
mfcc12_var,-0.03147997707719302
mfcc7_var,-0.042705811952980954
zero_crossing_rate_mean,-0.05261414244222262
harmony_var,-0.05377488017639662
mfcc18_mean,-0.061785404915415176
mfcc16_mean,-0.07506598965291747
mfcc5_mean,-0.09522988095380827
mfcc20_var,-0.09808638923249086
mfcc13_var,-0.10921423865429439
length,-0.1132315409613682
mfcc1_var,-0.12713236987365728
mfcc14_var,-0.15583699715945296
mfcc2_mean,-0.15946489339674752
mfcc13_mean,-0.16400390253828895
mfcc17_mean,-0.20439953903455685
mfcc20_mean,-0.24479647026580373
