Feature,Importance
mfcc6_mean,0.34482061534745234
mfcc3_mean,0.27647777995147355
chroma_stft_var,0.2748458208984691
mfcc5_var,0.2692749562711152
mfcc4_var,0.21054999117489992
mfcc4_mean,0.18883317524249146
mfcc1_mean,0.16267169086128203
rms_mean,0.15096185551908922
mfcc19_mean,0.15011139953613156
mfcc6_var,0.14249759230950163
mfcc8_mean,0.12562658503128823
rms_var,0.11249895892959189
perceptr_var,0.10728364786226843
mfcc10_mean,0.10011271623902679
chroma_stft_mean,0.09445522975053039
mfcc8_var,0.09444596929895929
mfcc14_mean,0.09184853485767214
mfcc9_mean,0.08419726343253636
mfcc9_var,0.07922077123078058
spectral_bandwidth_mean,0.053359175733996955
rolloff_mean,0.04978332942111857
mfcc19_var,0.049679516276614745
perceptr_mean,0.04880852765670782
mfcc10_var,0.04684671246942136
harmony_mean,0.04406330539433355
rolloff_var,0.03188267876014661
mfcc7_mean,0.029983907773312543
mfcc11_var,0.019984578676788614
mfcc11_mean,0.019938054334533523
mfcc3_var,0.010361650709496371
mfcc16_var,0.008049359705642523
spectral_centroid_mean,0.0042586996197575
mfcc15_var,0.0036773742029560684
mfcc18_var,-0.0010991342804414495
spectral_centroid_var,-0.0014783260553148936
spectral_bandwidth_var,-0.006893212370592594
mfcc16_mean,-0.008065631129654555
mfcc20_var,-0.0177316572635172
mfcc12_mean,-0.021620963589611936
zero_crossing_rate_var,-0.024190591738684264
tempo,-0.02496473258995342
mfcc17_var,-0.02758716605643264
harmony_var,-0.03372943508287632
mfcc1_var,-0.03662214340565003
mfcc15_mean,-0.05909518459143791
mfcc2_var,-0.06223282133136318
mfcc7_var,-0.064235405130558
mfcc14_var,-0.06853536218470134
mfcc13_var,-0.08602647041166403
mfcc5_mean,-0.0919162397607808
length,-0.09407567760214476
zero_crossing_rate_mean,-0.10110460795611467
mfcc2_mean,-0.11412211525124272
mfcc18_mean,-0.11628067087231321
mfcc12_var,-0.1263539382400522
mfcc13_mean,-0.16171500417267562
mfcc17_mean,-0.1877882497550038
mfcc20_mean,-0.19386757174629232
