Feature,Importance
mfcc6_mean,0.283863647075933
chroma_stft_var,0.2559691971108364
rms_mean,0.20751917051428487
mfcc4_var,0.20020264944705196
mfcc3_mean,0.198620158222914
mfcc5_var,0.18821662349771232
mfcc8_mean,0.1868205264824903
mfcc4_mean,0.17767334355437248
mfcc1_mean,0.1739757102645081
mfcc19_mean,0.1487412186991863
chroma_stft_mean,0.13007254057298007
mfcc8_var,0.12960245870323356
mfcc14_mean,0.1255608047521553
mfcc6_var,0.11280996667326693
rms_var,0.107092130713399
mfcc11_mean,0.10281563611233263
mfcc10_mean,0.09899968347216184
mfcc9_var,0.09237634119800164
perceptr_var,0.08325586894297402
harmony_var,0.07675824115527224
mfcc7_mean,0.07539900779562343
mfcc11_var,0.07473423844371392
mfcc2_var,0.063329530442299
mfcc16_var,0.05388196985898131
mfcc18_mean,0.04877799712530753
rolloff_var,0.04760774931479361
spectral_centroid_var,0.04189503120246307
mfcc12_mean,0.04100775154169478
rolloff_mean,0.034688094235066746
zero_crossing_rate_var,0.03185575045650224
mfcc9_mean,0.027183084302237433
spectral_bandwidth_var,0.026279222793203383
mfcc12_var,0.024120877993032766
mfcc17_var,0.018977128204467675
mfcc18_var,0.018681576663725552
mfcc3_var,0.017342260278513925
spectral_bandwidth_mean,0.013389249810828785
spectral_centroid_mean,0.007263778698166079
mfcc15_var,0.00616994869728877
length,0.0019492189235299079
mfcc7_var,-0.005949233274914867
mfcc19_var,-0.009321249074956656
harmony_mean,-0.013046382943633722
mfcc10_var,-0.019680152763444453
mfcc5_mean,-0.02541721942364024
perceptr_mean,-0.03138611917047153
tempo,-0.032771322954304766
zero_crossing_rate_mean,-0.04376353527421423
mfcc15_mean,-0.0694595278611795
mfcc13_var,-0.07275643147638158
mfcc20_var,-0.08622895105504164
mfcc2_mean,-0.09873679646099653
mfcc16_mean,-0.11959913514519677
mfcc1_var,-0.1258870131342544
mfcc14_var,-0.14588919431776107
mfcc13_mean,-0.21357636579324749
mfcc20_mean,-0.2227825698344609
mfcc17_mean,-0.23988144792376123
