Feature,Importance
mfcc6_mean,0.3922824975848792
chroma_stft_var,0.3198194467006968
mfcc3_mean,0.25222984626853473
mfcc4_var,0.22265581106626414
mfcc19_mean,0.20086121664350623
mfcc4_mean,0.19521582244028018
mfcc5_var,0.182029535994066
mfcc1_mean,0.15787170571445458
rms_mean,0.15165143869683773
mfcc8_mean,0.1460363946709634
mfcc14_mean,0.14183807807002724
chroma_stft_mean,0.12939600595863893
rms_var,0.12081051710773173
mfcc10_mean,0.12018863333980864
mfcc9_mean,0.10088029699757678
perceptr_var,0.09298222819558877
mfcc9_var,0.09032481689437485
mfcc6_var,0.08853130473773116
mfcc2_var,0.0876364489124974
rolloff_var,0.07651960964770621
mfcc8_var,0.06897229411004105
spectral_centroid_var,0.06405013067368726
rolloff_mean,0.06320911208156643
mfcc11_mean,0.05077145421824429
spectral_bandwidth_mean,0.043719201520491136
zero_crossing_rate_var,0.04268698547038169
mfcc7_mean,0.03902696533071433
perceptr_mean,0.038699126896919955
mfcc11_var,0.024940259743325185
spectral_centroid_mean,0.024362512560206162
mfcc16_var,0.0204156249074898
harmony_mean,0.020158597730649763
mfcc17_var,0.017032808340827404
spectral_bandwidth_var,0.01142847632369437
tempo,0.007080582651538048
mfcc18_var,0.0070692471218263275
mfcc3_var,0.00572357318024843
mfcc19_var,0.004694841258180746
mfcc12_mean,0.0025656113117394352
mfcc15_var,-0.009573208902265602
mfcc10_var,-0.010707519884135694
mfcc12_var,-0.028033439895774954
mfcc15_mean,-0.038539515680070004
harmony_var,-0.04250141681078462
mfcc7_var,-0.04385622821309043
zero_crossing_rate_mean,-0.054401051958165525
mfcc18_mean,-0.05745825583199459
mfcc16_mean,-0.06499414563012698
length,-0.07167963493884291
mfcc20_var,-0.09500479817043014
mfcc5_mean,-0.10375888110880915
mfcc13_var,-0.1098346254843872
mfcc1_var,-0.12930319283297662
mfcc14_var,-0.13505344327867536
mfcc2_mean,-0.14316727703163035
mfcc13_mean,-0.16507994823544436
mfcc17_mean,-0.21290603735314606
mfcc20_mean,-0.2704707688846234
