Feature,Importance
mfcc6_mean,0.3944474715494093
chroma_stft_var,0.32373983019469477
mfcc3_mean,0.24936780957151247
mfcc4_var,0.23309379493277518
mfcc19_mean,0.19359469580069566
mfcc1_mean,0.1758823468343329
mfcc5_var,0.16022763184716762
mfcc4_mean,0.15702517467551735
mfcc8_mean,0.13262646180013754
mfcc14_mean,0.12978183517884384
rms_mean,0.1175155527062633
rms_var,0.11217474243087756
mfcc6_var,0.11087756615895111
chroma_stft_mean,0.0916952043342229
perceptr_var,0.08872658937292721
mfcc8_var,0.07440355307153795
mfcc7_mean,0.06423187285993064
mfcc10_mean,0.06276289611957628
rolloff_var,0.054318600055328015
perceptr_mean,0.05289375621160834
mfcc18_var,0.04848176586427505
rolloff_mean,0.045968603426334576
mfcc16_var,0.04444462399160118
spectral_bandwidth_mean,0.03985389694720798
mfcc17_var,0.03490995403302989
spectral_centroid_var,0.03296554855667705
mfcc15_var,0.028043162312474654
mfcc11_var,0.02619484644525079
harmony_mean,0.025271637214604972
mfcc10_var,0.02482424831487326
mfcc12_mean,0.022560852696637768
mfcc9_mean,0.019155770825984957
spectral_centroid_mean,0.01727429062424235
mfcc3_var,0.016797037267478276
zero_crossing_rate_var,0.016759710717548115
spectral_bandwidth_var,0.016301434656124714
mfcc19_var,0.004822028350865615
mfcc2_var,0.0030079505696740255
mfcc9_var,-0.001260633071051953
mfcc15_mean,-0.0024361981652172467
mfcc18_mean,-0.0077645309526278225
mfcc11_mean,-0.015132391926607619
mfcc16_mean,-0.028382065776016485
mfcc7_var,-0.034063136357397106
mfcc12_var,-0.04027597703836433
tempo,-0.04043834767368102
length,-0.04587724942152795
zero_crossing_rate_mean,-0.05521495958349987
harmony_var,-0.07636277473887898
mfcc13_var,-0.0893885266089152
mfcc5_mean,-0.09688229250429821
mfcc20_var,-0.1164136929794643
mfcc2_mean,-0.11762726637345788
mfcc14_var,-0.11807615933427237
mfcc13_mean,-0.12333351202047567
mfcc1_var,-0.12703338377956191
mfcc17_mean,-0.20235768692509354
mfcc20_mean,-0.3025027145929481
