Feature,Importance
mfcc6_mean,0.3761181194540141
chroma_stft_var,0.30985731668792155
mfcc3_mean,0.2497673783204004
mfcc4_var,0.2236123047029661
mfcc4_mean,0.21339556958166903
mfcc5_var,0.18776890364412915
mfcc19_mean,0.18559578956590178
mfcc1_mean,0.16080205968640376
rms_mean,0.15372339626197745
mfcc8_mean,0.149065660919818
mfcc14_mean,0.14565306193113703
chroma_stft_mean,0.12611211695269264
rms_var,0.11870459508064744
mfcc9_mean,0.11764996589712126
mfcc10_mean,0.11329096091789476
perceptr_var,0.09186284346670986
mfcc6_var,0.08964111585649417
mfcc9_var,0.08597785046738411
rolloff_var,0.08267115054010038
mfcc2_var,0.07268680454385065
mfcc8_var,0.07250478521981488
spectral_centroid_var,0.06235115982174305
rolloff_mean,0.062124213238511805
perceptr_mean,0.048692113752682495
mfcc16_var,0.04759168946124197
spectral_bandwidth_mean,0.04748275130544888
mfcc11_mean,0.04349008454118529
zero_crossing_rate_var,0.04180996327897729
mfcc7_mean,0.03600818351954889
mfcc11_var,0.026755106102410248
mfcc17_var,0.0250117912743468
harmony_mean,0.02409018180541854
spectral_bandwidth_var,0.02274727520455261
spectral_centroid_mean,0.022595746283883278
mfcc3_var,0.022002812881666403
mfcc12_mean,0.011471391031101175
mfcc18_var,0.010159129358720431
mfcc15_var,0.003879181715040751
mfcc10_var,0.0024967514560260695
mfcc19_var,0.0017149077003307395
tempo,-0.01595615502316705
mfcc15_mean,-0.030062639480931082
mfcc12_var,-0.03472166380088272
harmony_var,-0.042339954274462605
mfcc7_var,-0.05378044256674486
zero_crossing_rate_mean,-0.05801137736179435
mfcc18_mean,-0.07268670588752446
mfcc16_mean,-0.07581738608098701
length,-0.08661894021417407
mfcc20_var,-0.09262063733963274
mfcc5_mean,-0.09399672959195739
mfcc13_var,-0.12134954378796672
mfcc1_var,-0.13094004931030834
mfcc14_var,-0.13953854099031737
mfcc2_mean,-0.14337944651872325
mfcc13_mean,-0.15506142022471692
mfcc17_mean,-0.21365332807252724
mfcc20_mean,-0.26273829458647435
