Feature,Importance
mfcc4_mean,0.23190775492033133
mfcc6_mean,0.19966276770557603
mfcc14_mean,0.16834801926785048
mfcc8_mean,0.15883262248912774
rms_mean,0.15691925681211097
mfcc10_mean,0.14884943207316031
mfcc5_var,0.1472534342809566
chroma_stft_var,0.14696862109698516
mfcc1_mean,0.13655715384672118
mfcc6_var,0.13653702907661724
mfcc4_var,0.1307917816850561
mfcc7_mean,0.11286734655163656
mfcc9_var,0.10840069937009474
mfcc3_mean,0.10430199364870812
mfcc3_var,0.09815643286132944
chroma_stft_mean,0.09244901783306111
rms_var,0.08535609480003545
harmony_var,0.0841275438293675
mfcc19_mean,0.07258919056842042
mfcc7_var,0.06630936461043636
mfcc8_var,0.06186133983912302
harmony_mean,0.056358890762314706
perceptr_var,0.048987693614890804
rolloff_var,0.047850060193788624
spectral_bandwidth_var,0.04699284825865517
mfcc18_var,0.0397509142835578
spectral_centroid_var,0.03771025968315239
perceptr_mean,0.03133297701794473
rolloff_mean,0.028703215965288187
tempo,0.02604552919912101
mfcc11_mean,0.024102218689471357
spectral_bandwidth_mean,0.019157384371341568
mfcc11_var,0.018549744699907035
mfcc9_mean,0.014202290754502321
mfcc17_var,0.011909830874741727
mfcc16_var,0.010745682414539215
mfcc19_var,0.008293525785987466
mfcc12_mean,-0.003603638644336743
spectral_centroid_mean,-0.0070083921238437985
mfcc10_var,-0.008851307398981888
zero_crossing_rate_var,-0.014817627504576852
mfcc15_var,-0.01887646417156629
mfcc5_mean,-0.020110994434023324
mfcc2_var,-0.02026594266342159
mfcc20_var,-0.03263111351346718
mfcc20_mean,-0.0372938525917033
mfcc16_mean,-0.04211403408081018
mfcc2_mean,-0.051747524819873714
mfcc15_mean,-0.07124315664116682
mfcc18_mean,-0.07475739888896211
mfcc14_var,-0.07863758952949321
length,-0.0792629796435865
zero_crossing_rate_mean,-0.08971534179375093
mfcc12_var,-0.09036851271132033
mfcc13_var,-0.11699840285425125
mfcc17_mean,-0.1385757560925594
mfcc1_var,-0.1398783609809713
mfcc13_mean,-0.17503689130005232
