Feature,Importance
mfcc6_mean,0.37492049198572575
chroma_stft_var,0.30389011426679086
mfcc3_mean,0.23719000075110597
mfcc4_mean,0.20798326232123482
mfcc19_mean,0.20658952135477932
mfcc5_var,0.20447579842461738
mfcc4_var,0.19500426175023639
mfcc8_mean,0.163701196375054
chroma_stft_mean,0.15151954217590635
mfcc1_mean,0.1343471586299761
mfcc14_mean,0.13401230364791977
rms_mean,0.13358063804000214
rms_var,0.12909306623077593
mfcc9_mean,0.1161067282495643
mfcc9_var,0.1154768642248303
mfcc10_mean,0.10022231629684192
perceptr_var,0.0946864451203916
rolloff_var,0.08593077867839993
mfcc6_var,0.08504168327292108
mfcc11_mean,0.07634508807933445
rolloff_mean,0.07336156930423376
mfcc8_var,0.06573818177918915
spectral_centroid_var,0.06283538762064689
spectral_bandwidth_mean,0.0592965051676021
mfcc17_var,0.04554769355285378
mfcc16_var,0.044399529241441006
zero_crossing_rate_var,0.0441149182056792
perceptr_mean,0.040912432991483214
spectral_centroid_mean,0.029639131301810173
mfcc3_var,0.029588846340019424
mfcc11_var,0.028217430137646937
mfcc7_mean,0.02732856601887966
mfcc2_var,0.02272831289341956
mfcc12_mean,0.021580538441977937
spectral_bandwidth_var,0.013199238002084446
harmony_mean,0.010029568262418562
mfcc15_var,0.008235444326073095
mfcc19_var,0.000612662547578538
mfcc10_var,-0.001611447213063888
mfcc18_var,-0.010156877693924954
tempo,-0.01470770415049566
mfcc12_var,-0.017507382040429086
mfcc15_mean,-0.03347028545002652
mfcc7_var,-0.03567973148234205
harmony_var,-0.056554705663035415
zero_crossing_rate_mean,-0.05779278011614947
mfcc18_mean,-0.0667123087528522
mfcc16_mean,-0.08703034567844412
mfcc5_mean,-0.09757397299340323
mfcc20_var,-0.10858269054694074
length,-0.11443729021395571
mfcc13_var,-0.1298051170555688
mfcc1_var,-0.13618177129930129
mfcc14_var,-0.14760154444503204
mfcc13_mean,-0.1604222584414448
mfcc2_mean,-0.16228317097882794
mfcc17_mean,-0.18584871347822068
mfcc20_mean,-0.24461845271817223
