Feature,Importance
mfcc6_mean,0.3798753502786198
chroma_stft_var,0.3233632820500516
mfcc3_mean,0.2488463313828428
mfcc4_mean,0.20684126806447364
mfcc4_var,0.20658889648459736
mfcc5_var,0.1995024448140887
mfcc19_mean,0.19550373230579748
mfcc8_mean,0.16041980272818884
mfcc1_mean,0.1525251200494716
chroma_stft_mean,0.14212279939759292
rms_mean,0.14142012507547103
mfcc14_mean,0.13807486897579563
rms_var,0.12544375635443517
mfcc9_mean,0.10944805151873319
perceptr_var,0.09633755787266907
mfcc10_mean,0.08949920196585587
mfcc9_var,0.08770179945806261
mfcc6_var,0.08664241742494086
rolloff_var,0.08245999196554515
rolloff_mean,0.07443095705105407
mfcc8_var,0.06872984863935905
spectral_bandwidth_mean,0.06012770685700808
spectral_centroid_var,0.06004890340740432
mfcc11_mean,0.04689775404243344
perceptr_mean,0.04609200441348811
zero_crossing_rate_var,0.0431533791553233
mfcc16_var,0.041380762918228245
mfcc7_mean,0.04039461895566869
mfcc3_var,0.03736484935064918
mfcc11_var,0.03379610487250802
spectral_centroid_mean,0.03353323315032908
mfcc17_var,0.030948509205336747
harmony_mean,0.016222059776931183
mfcc2_var,0.014184147901763616
spectral_bandwidth_var,0.012174026891712708
mfcc12_mean,0.010792216506587904
mfcc15_var,-0.001797495210983567
mfcc10_var,-0.0025286677668607815
mfcc18_var,-0.0027634003415800967
mfcc19_var,-0.0045457021167982364
tempo,-0.01841366671347787
mfcc12_var,-0.023803088195685596
mfcc7_var,-0.03043507537027801
mfcc15_mean,-0.03765187852338287
zero_crossing_rate_mean,-0.05480538439403737
harmony_var,-0.056672576286275006
mfcc18_mean,-0.06199719594021272
mfcc16_mean,-0.08806363583918489
mfcc5_mean,-0.0936961666385398
length,-0.10392581860130803
mfcc20_var,-0.10978916129523697
mfcc13_var,-0.12203473910868692
mfcc1_var,-0.13145489153528916
mfcc14_var,-0.15149324215939391
mfcc13_mean,-0.15747649056460822
mfcc2_mean,-0.16614372739988892
mfcc17_mean,-0.20488910866451862
mfcc20_mean,-0.2685890887843173
